web-scraper-order	web-scraper-start-url	url	url-href	title	date	time	price	tags	
1554660392-1250	https://www.eventbrite.com/d/fl--miami/all-events/?page=29	Miami Media and Film Market (MMFM) 2019Miami Media and Film Market (MMFM) 2019	https://www.eventbrite.com/e/miami-media-and-film-market-mmfm-2019-tickets-55664842041?aff=ebdssbdestsearch	Miami Media and Film Market (MMFM) 2019	"Tue, Jun 4, 2019, 5:30 PM –"	"Fri, Jun 7, 2019, 12:30 PM EDT"	$45 – $95	"[{""tags"":""Things to do in Coral Gables, FL""},{""tags"":""Conference""},{""tags"":""Film & Media""}]"	
1554660503-1263	https://www.eventbrite.com/d/fl--miami/all-events/?page=16	Rosenstiel School Open HouseRosenstiel School Open House	https://www.eventbrite.com/e/rosenstiel-school-open-house-tickets-52229421606?aff=ebdssbdestsearch	Rosenstiel School Open House	"Mon, April 8, 2019"	9:00 AM – 12:00 PM EDT	Free	"[{""tags"":""Things to do in Key Biscayne, FL""},{""tags"":""Networking""}]"	
1554660549-1268	https://www.eventbrite.com/d/fl--miami/all-events/?page=11	Night of BeautyNight of Beauty	https://www.eventbrite.com/e/night-of-beauty-tickets-59861626737?aff=ebdssbdestsearch	Night of Beauty	"Thu, May 2, 2019"	6:30 PM – 8:30 PM EDT	Free	"[{""tags"":""Things to do in Miami, FL""},{""tags"":""Party""},{""tags"":""Fashion""}]"	
1554660421-1253	https://www.eventbrite.com/d/fl--miami/all-events/?page=26	Miami Bar Hopping Miami Bar Hopping	https://www.eventbrite.es/e/miami-bar-hopping-tickets-53286323829?aff=ebdssbdestsearch	Miami Bar Hopping	"Sat, Apr 6, 2019, 6:00 PM –"	"Sun, Apr 7, 2019, 3:00 AM EDT"	$30 – $35	"[{""tags"":""Things to do in Miami, FL""},{""tags"":""Party""},{""tags"":""Food & Drink""}]"	
1554660623-1277	https://www.eventbrite.com/d/fl--miami/all-events/?page=2	2019 AUC Commencement Ceremony2019 AUC Commencement Ceremony	https://www.eventbrite.com/e/2019-auc-commencement-ceremony-tickets-52540779887?aff=ebdssbdestsearch	2019 AUC Commencement Ceremony	"Sat, May 18, 2019"	7:00 PM – 10:00 PM EDT	Free	"[{""tags"":""Things to do in Coral Gables, FL""},{""tags"":""School Activities""}]"	
1554660557-1269	https://www.eventbrite.com/d/fl--miami/all-events/?page=10	Green Shorts Film FestivalGreen Shorts Film Festival	https://www.eventbrite.com/e/green-shorts-film-festival-tickets-55942660002?aff=ebdssbdestsearch	Green Shorts Film Festival	"Sat, April 13, 2019"	5:00 PM – 8:30 PM EDT	Free	"[{""tags"":""Things to do in Coral Gables, FL""},{""tags"":""Screening""},{""tags"":""Film & Media""}]"	
1554660615-1276	https://www.eventbrite.com/d/fl--miami/all-events/?page=3	6th Annual Easter Day Eggstravanagza & The Trina Day Easter Edition 6th Annual Easter Day Eggstravanagza & The Trina Day Easter Edition	https://www.eventbrite.com/e/6th-annual-easter-day-eggstravanagza-the-trina-day-easter-edition-tickets-57653895353?aff=ebdssbdestsearch	6th Annual Easter Day Eggstravanagza & The Trina Day Easter Edition	"Sun, April 21, 2019"	12:00 PM – 6:00 PM EDT	$0 – $35	"[{""tags"":""Things to do in Miami, FL""},{""tags"":""Festival""},{""tags"":""Other""}]"	
1554660449-1256	https://www.eventbrite.com/d/fl--miami/all-events/?page=23	PlankkapaloozaPlankkapalooza	https://www.eventbrite.ca/e/plankkapalooza-tickets-57644564444?aff=ebdssbdestsearch	Plankkapalooza	"Sat, 4 May 2019"	9:30 AM – 5:30 PM EDT	US$17.49 – US$84.99	"[{""tags"":""Things to do in Doral, FL""},{""tags"":""Class""},{""tags"":""Sports & Fitness""}]"	
1554660200-1230	https://www.eventbrite.com/d/fl--miami/all-events/?page=49	FREE WELCOME DRINK FOR GUYS & LADIES ON DIANA'S GUESTLIST AT KARAOKE BARFREE WELCOME DRINK FOR GUYS & LADIES ON DIANA'S GUESTLIST AT KARAOKE BAR	https://www.eventbrite.com/e/free-welcome-drink-for-guys-ladies-on-dianas-guestlist-at-karaoke-bar-tickets-58172812448?aff=ebdssbdestsearch	FREE WELCOME DRINK FOR GUYS & LADIES ON DIANA'S GUESTLIST AT KARAOKE BAR	"Wed, Apr 10, 2019, 8:00 PM –"	"Thu, Apr 11, 2019, 1:00 AM EDT"	Free	"[{""tags"":""Things to do in Miami, FL""},{""tags"":""Party""},{""tags"":""Music""}]"	
1554660335-1243	https://www.eventbrite.com/d/fl--miami/all-events/?page=36	"Latin Industry Night: Live Performances, DJs, Salsa, Merengue, Reggaeton + MoreLatin Industry Night: Live Performances, DJs, Salsa, Merengue, Reggaeton + ..."	https://www.eventbrite.com/e/latin-industry-night-live-performances-djs-salsa-merengue-reggaeton-more-tickets-58051245839?aff=ebdssbdestsearch	"Latin Industry Night: Live Performances, DJs, Salsa, Merengue, Reggaeton +..."	"Wed, Apr 10, 2019, 8:00 PM –"	"Thu, Apr 11, 2019, 3:00 AM EDT"	Free	"[{""tags"":""Things to do in Miami, FL""},{""tags"":""Performance""},{""tags"":""Music""}]"	
1554660328-1242	https://www.eventbrite.com/d/fl--miami/all-events/?page=37	"Paz Financiera con Andres ""El Machete Pa' Tu Billete"" MIAMI Paz Financiera con Andres ""El Machete Pa' Tu Billete"" MIAMI"	https://www.eventbrite.com/e/paz-financiera-con-andres-el-machete-pa-tu-billete-miami-tickets-57895367603?aff=ebdssbdestsearch	"Paz Financiera con Andres ""El Machete Pa' Tu Billete"" MIAMI"	"Fri, April 12, 2019"	6:30 PM – 9:00 PM EDT	Free	"[{""tags"":""Things to do in Biscayne Park, FL""}]"	
1554660279-1237	https://www.eventbrite.com/d/fl--miami/all-events/?page=42	"Floodplain Design, Construction, and Impacts on Flood InsuranceFloodplain Design, Construction, and Impacts on Flood Insurance"	https://www.eventbrite.com/e/floodplain-design-construction-and-impacts-on-flood-insurance-tickets-54985627492?aff=ebdssbdestsearch	"Floodplain Design, Construction, and Impacts on Flood Insurance"	"Thu, May 9, 2019"	11:30 AM – 1:00 PM EDT	$0 – $25	"[{""tags"":""Things to do in Miami, FL""},{""tags"":""Class""},{""tags"":""Business""}]"	
				null	null	null		[]	
