web-scraper-order	web-scraper-start-url	url	url-href	title	date	time	venue	price	tags							
1554659488-1194	https://www.eventbrite.com/d/ma--boston/all-events/?page=36	Somerville Sustainability TourSomerville Sustainability Tour	https://www.eventbrite.com/e/somerville-sustainability-tour-tickets-57287394138?aff=ebdssbdestsearch	Somerville Sustainability Tour	"Sun, April 28, 2019"	11:00 AM – 5:00 PM EDT	"Somerville, MA"	Free	"[{""tags"":""Things to do in Somerville, MA""}]"							
1554659629-1210	https://www.eventbrite.com/d/ma--boston/all-events/?page=20	ICON FRIDAYSICON FRIDAYS	https://www.eventbrite.com/e/icon-fridays-tickets-54116546046?aff=ebdssbdestsearch	ICON FRIDAYS	"Fri, Apr 12, 2019, 10:30 PM –"	"Sat, Apr 13, 2019, 2:00 AM EDT"	100 Warrenton Street	$0 – $50	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Party""},{""tags"":""Music""}]"							
1554659373-1182	https://www.eventbrite.com/d/ma--boston/all-events/?page=48	2019 Debutante Tea2019 Debutante Tea	https://www.eventbrite.com/e/2019-debutante-tea-tickets-58945169589?aff=ebdssbdestsearch	2019 Debutante Tea	"Sat, May 4, 2019"	1:00 PM – 4:00 PM EDT	5 Blossom Street	$35 	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Party""},{""tags"":""Charity & Causes""}]"							
1554659469-1192	https://www.eventbrite.com/d/ma--boston/all-events/?page=38	How Product Roles Differ in Each Company by Product at LovepopHow Product Roles Differ in Each Company by Product at Lovepop	https://www.eventbrite.com/e/how-product-roles-differ-in-each-company-by-product-at-lovepop-tickets-55967516348?aff=ebdssbdestsearch	null	null	null	null	null	[]							
1554659505-1196	https://www.eventbrite.com/d/ma--boston/all-events/?page=34	Comedy Party @ Democracy Brewing!Comedy Party @ Democracy Brewing!	https://www.eventbrite.com/e/comedy-party-democracy-brewing-tickets-58914253117?aff=ebdssbdestsearch	Comedy Party @ Democracy Brewing!	"Sat, April 13, 2019"	9:00 PM – 11:00 PM EDT	35 Temple Place	$10 	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Party""},{""tags"":""Arts""}]"							
1554659602-1207	https://www.eventbrite.com/d/ma--boston/all-events/?page=23	Admissions Open HouseAdmissions Open House	https://www.eventbrite.com/e/admissions-open-house-tickets-53890470849?aff=ebdssbdestsearch	Admissions Open House	"Sat, April 27, 2019"	9:00 AM – 12:00 PM EDT	50 Oakland Street	Free	"[{""tags"":""Things to do in Wellesley, MA""}]"							
1554659800-1229	https://www.eventbrite.com/d/ma--boston/all-events/?page=1	2019 World Medical Innovation Forum2019 World Medical Innovation Forum	https://www.eventbrite.com/e/2019-world-medical-innovation-forum-registration-45291207220?aff=ebdssbdestsearch	2019 World Medical Innovation Forum	null	null	10 Huntington Ave	"$199 – $1,749"	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Conference""},{""tags"":""Health""}]"							
1554659738-1222	https://www.eventbrite.com/d/ma--boston/all-events/?page=8	Kurogo Conference 2019Kurogo Conference 2019	https://www.eventbrite.com/e/kurogo-conference-2019-tickets-50662754663?aff=ebdssbdestsearch	null	null	null	null	null	[]							
1554659702-1218	https://www.eventbrite.com/d/ma--boston/all-events/?page=12	2019 ACE Networking to Support ACE Mentoring2019 ACE Networking to Support ACE Mentoring	https://www.eventbrite.com/e/2019-ace-networking-to-support-ace-mentoring-tickets-55275738221?aff=ebdssbdestsearch	null	null	null	null	null	[]							
1554659773-1226	https://www.eventbrite.com/d/ma--boston/all-events/?page=4	Boston Salsa Festival 2019Boston Salsa Festival 2019	https://www.eventbrite.com/e/boston-salsa-festival-2019-registration-53323172043?aff=ebdssbdestsearch	Boston Salsa Festival 2019	"Fri, Aug 16, 2019, 7:00 PM –"	"Mon, Aug 19, 2019, 3:00 AM EDT"	70 Third Avenue	$30 – $350	"[{""tags"":""Things to do in Waltham, MA""},{""tags"":""Festival""},{""tags"":""Arts""}]"							
1554659428-1188	https://www.eventbrite.com/d/ma--boston/all-events/?page=42	Psi Omega Movie Night - LittlePsi Omega Movie Night - Little	https://www.eventbrite.com/e/psi-omega-movie-night-little-tickets-58949527624?aff=ebdssbdestsearch	Psi Omega Movie Night - Little	"Fri, April 12, 2019"	6:30 PM – 9:30 PM EDT	Legacy Place	$15 	"[{""tags"":""Things to do in Dedham, MA""},{""tags"":""Attraction""},{""tags"":""Charity & Causes""}]"							
1554659534-1199	https://www.eventbrite.com/d/ma--boston/all-events/?page=31	Boston May 14 Cloud/Containers/SecurityBoston May 14 Cloud/Containers/Security	https://www.eventbrite.com/e/boston-may-14-cloudcontainerssecurity-registration-54207579329?aff=ebdssbdestsearch	null	null	null	null	null	[]							
1554659578-1204	https://www.eventbrite.com/d/ma--boston/all-events/?page=26	"The Annual Distinguished Lecture presented by David Cole, National Legal Director of the ACLUThe Annual Distinguished Lecture presented by David Cole, National Legal Di..."	https://www.eventbrite.com/e/the-annual-distinguished-lecture-presented-by-david-cole-national-legal-director-of-the-aclu-registration-55413381917?aff=ebdssbdestsearch	"The Annual Distinguished Lecture presented by David Cole, National Legal Di..."	"Thu, April 11, 2019"	12:45 PM – 2:00 PM EDT	765 Commonwealth Avenue	Free	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Seminar""},{""tags"":""Government""}]"							
1554659748-1223	https://www.eventbrite.com/d/ma--boston/all-events/?page=7	"Boozin' Through The 90s Bar Crawl | Boston, MABoozin' Through The 90s Bar Crawl | Boston, MA"	https://www.eventbrite.com/e/boozin-through-the-90s-bar-crawl-boston-ma-tickets-49829166378?aff=ebdssbdestsearch	"Boozin' Through The 90s Bar Crawl | Boston, MA"	"Sat, April 27, 2019"	1:30 PM – 9:00 PM EDT	"Boston, MA 02108"	$0.99 – $39.99	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Festival""},{""tags"":""Food & Drink""}]"							
1554659639-1211	https://www.eventbrite.com/d/ma--boston/all-events/?page=19	An Evening with Author Martha Hall KellyAn Evening with Author Martha Hall Kelly	https://www.eventbrite.com/e/an-evening-with-author-martha-hall-kelly-tickets-54409089050?aff=ebdssbdestsearch	null	null	null	null	null	[]							
